disease,symptoms,precautions
Fungal infection,"itching, skin rash, nodal skin eruptions, dischromic  patches",bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths
hepatitis A,"joint pain, vomiting, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain",Consult nearest hospital | wash hands through | avoid fatty spicy food | medication
hepatitis A,"joint pain, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain",Consult nearest hospital | wash hands through | avoid fatty spicy food | medication
hepatitis A,"joint pain, vomiting, yellowish skin, dark urine, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain",Consult nearest hospital | wash hands through | avoid fatty spicy food | medication
hepatitis A,"joint pain, vomiting, yellowish skin, dark urine, nausea, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain",Consult nearest hospital | wash hands through | avoid fatty spicy food | medication
hepatitis A,"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, diarrhoea, mild fever, yellowing of eyes, muscle pain",Consult nearest hospital | wash hands through | avoid fatty spicy food | medication
hepatitis A,"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, mild fever, yellowing of eyes, muscle pain",Consult nearest hospital | wash hands through | avoid fatty spicy food | medication
Hepatitis B,"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",consult nearest hospital | vaccination | eat healthy | medication
Hepatitis B,"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",consult nearest hospital | vaccination | eat healthy | medication
Hepatitis B,"fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",consult nearest hospital | vaccination | eat healthy | medication
Hepatitis B,"itching, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",consult nearest hospital | vaccination | eat healthy | medication
Hepatitis B,"itching, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",consult nearest hospital | vaccination | eat healthy | medication
Hepatitis B,"itching, fatigue, lethargy, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",consult nearest hospital | vaccination | eat healthy | medication
Hepatitis B,"itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",consult nearest hospital | vaccination | eat healthy | medication
Hepatitis B,"itching, fatigue, lethargy, yellowish skin, dark urine, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",consult nearest hospital | vaccination | eat healthy | medication
Hepatitis B,"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",consult nearest hospital | vaccination | eat healthy | medication
Hepatitis B,"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",consult nearest hospital | vaccination | eat healthy | medication
Hepatitis C,"fatigue, yellowish skin, nausea, loss of appetite, family history",Consult nearest hospital | vaccination | eat healthy | medication
Hepatitis C,"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Consult nearest hospital | vaccination | eat healthy | medication
Hepatitis C,"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Consult nearest hospital | vaccination | eat healthy | medication
Hepatitis C,"fatigue, nausea, loss of appetite, yellowing of eyes, family history",Consult nearest hospital | vaccination | eat healthy | medication
Hepatitis C,"fatigue, yellowish skin, loss of appetite, yellowing of eyes, family history",Consult nearest hospital | vaccination | eat healthy | medication
Hepatitis C,"fatigue, yellowish skin, nausea, yellowing of eyes, family history",Consult nearest hospital | vaccination | eat healthy | medication
Hepatitis C,"fatigue, yellowish skin, nausea, loss of appetite, family history",Consult nearest hospital | vaccination | eat healthy | medication
Hepatitis C,"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes",Consult nearest hospital | vaccination | eat healthy | medication
Hepatitis C,"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Consult nearest hospital | vaccination | eat healthy | medication
Hepatitis C,"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Consult nearest hospital | vaccination | eat healthy | medication
Hepatitis D,"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes",consult doctor | medication | eat healthy | follow up
Hepatitis D,"vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes",consult doctor | medication | eat healthy | follow up
Hepatitis D,"joint pain, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes",consult doctor | medication | eat healthy | follow up
Hepatitis D,"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes",consult doctor | medication | eat healthy | follow up
Hepatitis D,"joint pain, vomiting, fatigue, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes",consult doctor | medication | eat healthy | follow up
Hepatitis D,"joint pain, vomiting, fatigue, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",consult doctor | medication | eat healthy | follow up
Hepatitis D,"joint pain, vomiting, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes",consult doctor | medication | eat healthy | follow up
Hepatitis D,"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, abdominal pain, yellowing of eyes",consult doctor | medication | eat healthy | follow up
Hepatitis D,"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, yellowing of eyes",consult doctor | medication | eat healthy | follow up
Hepatitis D,"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain",consult doctor | medication | eat healthy | follow up
Hepatitis E,"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, coma, stomach bleeding",stop alcohol consumption | rest | consult doctor | medication
Hepatitis E,"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",stop alcohol consumption | rest | consult doctor | medication
Hepatitis E,"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",stop alcohol consumption | rest | consult doctor | medication
Hepatitis E,"vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",stop alcohol consumption | rest | consult doctor | medication
Hepatitis E,"joint pain, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",stop alcohol consumption | rest | consult doctor | medication
Hepatitis E,"joint pain, vomiting, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",stop alcohol consumption | rest | consult doctor | medication
Hepatitis E,"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",stop alcohol consumption | rest | consult doctor | medication
Hepatitis E,"joint pain, vomiting, fatigue, high fever, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",stop alcohol consumption | rest | consult doctor | medication
Hepatitis E,"joint pain, vomiting, fatigue, high fever, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",stop alcohol consumption | rest | consult doctor | medication
Hepatitis E,"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",stop alcohol consumption | rest | consult doctor | medication
Alcoholic hepatitis,"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",stop alcohol consumption | consult doctor | medication | follow up
Alcoholic hepatitis,"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",stop alcohol consumption | consult doctor | medication | follow up
Alcoholic hepatitis,"yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",stop alcohol consumption | consult doctor | medication | follow up
Alcoholic hepatitis,"vomiting, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",stop alcohol consumption | consult doctor | medication | follow up
Alcoholic hepatitis,"vomiting, yellowish skin, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",stop alcohol consumption | consult doctor | medication | follow up
Alcoholic hepatitis,"vomiting, yellowish skin, abdominal pain, distention of abdomen, history of alcohol consumption, fluid overload",stop alcohol consumption | consult doctor | medication | follow up
